sugarField,detailHookTag,detailHookStrategy,detailHookValue,editHookTag,editHookStrategy,editHookValue,restName,massUpdateTag,massUpdateStrategy,massUpdateValue,defaultValue,type
name,span,id,name,input,id,name,name,null,null,null,Quote for Aperture's order,
opportunityName,span,id,opportunity_id,input,id,opportunity_name,null,null,null,null,,
quoteNumber,span,id,quote_num,null,null,null,quote_num,null,null,null,,
quoteStage,td,css,table#LBL_QUOTE_INFORMATION tbody tr:nth-of-type(2) td:nth-of-type(4),select,id,quote_stage,quote_stage,select,id,mass_quote_stage,Draft,
purchaseOrderNum,span,id,purchase_order_num,input,id,purchase_order_num,purchase_order_num,null,null,null,,
validUntil,span,id,date_quote_expected_closed,input,id,date_quote_expected_closed,date_quote_expected_closed,input,id,date_quote_expected_closedjscal_field,12/01/2020,
paymentTerms,td,css,table#LBL_QUOTE_INFORMATION tbody tr:nth-of-type(4) td:nth-of-type(2),select,id,payment_terms,payment_terms,select,id,mass_payment_terms,,
originalPODate,span,id,original_po_date,input,id,original_po_date,original_po_date,input,id,original_po_datejscal_field,,
billingAccountName,span,id,billing_account_id,input,id,billing_account_name,null,select,id,mass_billing_account_name,Aperture Laboratories,
shippingAccountName,span,id,shipping_account_id,input,id,shipping_account_name,null,select,id,mass_shipping_account_name,,
billingContactName,span,id,billing_contact_id,input,id,billing_contact_name,null,select,id,mass_billing_contact_name,,
shippingContactName,span,id,shipping_contact_id,input,id,shipping_contact_name,null,input,id,mass_shipping_contact_name,,
billTo,td,css,table#LBL_QUOTE_INFORMATION tbody tr:nth-of-type(7) td:nth-of-type(2),null,null,null,null,null,null,null,,
shipTo,td,css,table#LBL_QUOTE_INFORMATION tbody tr:nth-of-type(7) td:nth-of-type(4),null,null,null,null,null,null,null,,
billingStreet,null,null,null,textarea,id,billing_address_street,billing_address_street,null,null,null,,
billingCity,null,null,null,input,id,billing_address_city,billing_address_city,null,null,null,,
billingState,null,null,null,input,id,billing_address_state,billing_address_state,null,null,null,,
billingPostalCode,null,null,null,input,id,billing_address_postalcode,billing_address_postalcode,null,null,null,,
billingCountry,null,null,null,input,id,billing_address_country,billing_address_country,null,null,null,,
description,span,id,description,textarea,id,description,description,null,null,null,Final quotes for Candy Inc.,
assignedUserName,span,id,assigned_user_id,input,id,assigned_user_id,null,input,id,mass_assigned_user_name,,
teamName,td,css,table#LBL_PANEL_ASSIGNMENT tbody tr:nth-of-type(2) td:nth-of-type(2),input,id,EditView_team_name_collection_0,null,input,id,MassUpdate_team_name_collection_0,,
